,Peter Travers,Jeannette Catsoulis,Peter Stack,Desson Thomson,Calvin Wilson,Robert Abele,Peter Hartlaub,Keith Uhlich,Bill Goodykoontz,Marjorie Baumgarten,nan,Kate Erbland,Michael Rechtshaffen,David Wiegand,Jonathan Rosenbaum,Wesley Morris,William Arnold,Michael O'Sullivan,Tom Huddleston,Nick Schager,A.A. Dowd ,Claudia Puig,Tim Robey,Moira Macdonald,Noel Murray,James Rocchi,David Ansen,Richard Schickel,Richard Brody,John DeFore,Clark Collis,Melissa Maerz,Lou Lumenick,Bill Zwecker,Michael Sragow,Ken Fox,Boyd van Hoeij,Robert Lloyd,Shawn Levy,Elizabeth Weitzman,Chris Hewitt (1),Bob Graham,Roger Moore,Randall Colburn,Helen O'Hara,Matt Brennan,Jordan Raup,Stephen Dalton,Rick Groen,Liam Lacey,Kim Newman,Bob Mondello,Betsy Sharkey,Eric Kohn,Manohla Dargis,Nigel M Smith,Randy Cordova,Gregory Ellwood,Nicolas Rapold,Sheri Linden,Rita Kempley,Barry Hertz,Clayton Dillard,Charlie Schmidlin,Nathan Rabin,Erik Adams,Kate Taylor,Barbara VanDenburgh,Jamie Graham,Steve Davis,Alan Scherstuhl,Jonathan Curiel,Dennis Harvey,Nick de Semlyen,Catherine Shoard,Jaime N. Christley,Dominick Suzanne-Mayer,Amy Taubin,Jami Bernard,Jonathan Foreman,Clarence Tsui,Brad Wheeler,Rex Reed,Anthony Lane,David Edelstein,Miriam Bale,Scott Tobias,Peter Keough,Luke Y. Thompson,Pete Vonder Haar,Serena Donadoni,Kevin Maynard,Amy Biancolli,Neil Genzlinger,Ann Hornaday,Stephanie Zacharek,Tom Keogh,V.A. Musetto,Sean Axmaker,Bill White,Mary Pols,Damon Wise,Andrew Pulver,James Mottram,Allan Hunter,Bryan Bishop,Rory O'Connor,Kevin P. Sullivan,Ben Kenigsberg,Molly Eichel,Farran Smith Nehme,Nathan Lee,Bosley Crowther,Mick LaSalle,Desmond Ryan,Marc Mohan,Edward Guthmann,Neva Chonin,Mark Jenkins,Gary Arnold,Alan Zilberman,Kirk Honeycutt,Justin Lowe,Elizabeth Kerr,Andrew O'Hehir,Andrea Gronvall,Elise Nakhnikian,Sam C. Mac,Zach Campbell,Chris Kaltenbach,Lisa Alspector,Glenn Heath Jr.,Oleg Ivanov,Kevin C. Johnson,Michael Roffman,Justin Gerber,Sarah Kurchak,Rodrigo Perez,Cath Clarke,Nick Allen,Robert Yaniz Jr.,Matt Donato,Wendy Ide,Michael Snydel,Dan Mecca,Kyle Anderson,Russell Smith,David Chute,Ernest Hardy,Chris Packham,Sherilyn Connelly,Todd McCarthy,Roger Ebert,Mike Hale,Stephen Hunter,Elvis Mitchell,Pauline Kael,Owen Gleiberman,Justin Chang,Peter Rainer,David Rooney,Richard Corliss,Richard Roeper,Jessica Kiang,Joe McGovern,Brian Lowry,Todd VanDerWerff,A.O. Scott,Kevin Thomas,Stephen Holden,Dave Calhoun,John Bleasdale,Lisa Schwarzbaum,Ignatiy Vishnevetsky,Kenneth Turan,Rene Rodriguez,Mike Clark,Susan Wloszczyna,Guy Lodge,Dan Fienberg,Peter Bradshaw,Chuck Bowen,Ty Burr,Sheila Benson,Vincent Canby,Kevin Jagernauth,Tim Grierson,John Anderson,Andy Webster
Peter Travers,0.0,297.26552585,301.925508818,308.770550559,287.431545037,259.982406341,286.597476526,310.133501271,372.869906925,236.331656355,4.627253749,272.699988763,247.587998961,322.446050336,284.513187858,335.524485276,330.887248328,334.142633369,343.467357677,300.631269371,329.525539608,280.362820888,305.376883083,285.672690699,278.132029919,395.139505872,319.12723565,323.913897914,327.193117628,329.263287426,350.234120286,306.431313936,315.189266392,299.625668823,291.413825266,358.762147451,377.118399832,298.040538353,364.487101714,324.728898455,346.852036348,320.182420516,307.496089441,372.235108725,270.448755678,291.328694358,293.505318406,304.120691074,341.735512999,430.351786555,347.313910406,268.355238325,270.367181735,254.499262103,298.930645677,365.200678729,364.031509937,377.069464414,325.270292607,350.60997382,301.518077418,336.104996076,398.131870071,343.280800997,306.391121581,308.083686055,367.579353387,341.024376241,439.487460614,367.40313566,204.916274322,316.074631198,305.048515578,347.437304076,248.875406357,305.118613125,288.218190322,357.092664508,315.86183412,346.683584299,371.63957314,358.073864126,289.011656584,255.505382569,336.580352426,284.313556417,317.304118359,333.877307725,279.784549668,322.932002825,363.780994138,315.81297136,326.22656455,357.705296019,328.734047736,315.770987949,414.4980437,287.084173101,319.554425872,306.47349603,362.738657022,271.490490701,357.766504551,329.164050496,343.884724761,332.102413637,334.552498697,337.987010298,229.856574792,287.611842808,408.540026961,298.791785283,287.980240681,331.673522242,365.126407402,362.294713177,327.477431242,284.45000494,303.162792574,339.722784424,308.774615904,316.776344669,242.843317695,303.944816554,352.373858297,235.890413618,250.382774948,328.875429687,322.964299045,374.466097542,317.806039592,379.886103035,304.666895809,356.249920028,375.270791459,291.45105792,310.637520714,273.218958011,322.075642838,287.234803539,316.133184209,313.366962832,4.627253749,297.475292273,363.125748543,307.214857497,294.405723416,318.510367143,323.733663738,357.996342478,332.897691828,323.767448834,286.052207528,312.041235437,328.361423338,333.871878508,4.627253749,300.635257596,328.544270054,331.90516468,422.391186321,288.960864129,279.344352515,296.291020158,372.948173614,306.163611784,372.275915326,314.89804038,329.748686461,289.537639055,308.07863317,318.513079029,185.093515313,290.845504676,324.74053947,353.675411099,377.903583918,366.101363768,219.029874785,394.049859652,281.908849218,322.919162923,352.457541306,331.303615502,238.027771407,323.839403819,294.296694542,310.285095267,336.201064897
Jeannette Catsoulis,338.99460894,0.0,309.858564393,309.323110654,300.055900959,258.283597437,256.439982818,315.698308105,360.918948103,235.175701706,3.95768722591,281.545171879,232.844272215,303.798858058,279.935047124,323.764069294,340.100797803,331.688998842,343.691645982,312.076769399,329.296688623,290.534811662,309.163479459,282.019725491,265.497605562,397.795179541,314.61748537,317.755232071,327.999005024,319.314326231,344.924587352,303.840079699,312.646442131,292.454133409,313.512434862,351.555221512,350.92296103,293.446461596,349.53420908,320.831503892,345.347315265,313.65249858,307.754432765,389.322975935,262.554875021,280.487023995,303.120215387,308.684614504,345.623474597,421.526095923,331.96988984,256.309830469,285.926807476,266.911789466,295.692212031,346.165720903,353.162559309,364.154914636,329.580143872,339.745080643,286.624295434,327.265906574,390.727613275,323.535155753,315.130713447,329.763420004,362.589650448,336.656865414,433.443488331,337.930303216,209.155166103,317.86267781,282.914334569,333.008583593,247.353834481,304.151850265,289.062163592,360.837095406,316.6373001,353.662080117,365.222139175,354.964248744,283.752948422,281.409978377,335.771564555,282.000608948,315.631105935,327.417834534,275.025014964,313.43752091,362.795597088,315.111885082,321.291283212,360.396909412,326.986653408,308.758493644,413.354908941,276.983951689,302.242457712,295.820989929,368.38217304,274.828558611,353.432415585,344.390047591,350.525435358,320.32143641,333.358874539,322.687241094,238.919676265,288.433567567,392.872021331,275.980320417,274.257890555,328.834442149,360.48844002,352.672345669,314.598482057,287.915628213,308.891001722,330.14328842,301.452794712,333.216947046,256.23046462,298.020719764,346.810123126,241.749247284,246.852053743,323.199166042,327.334309305,371.230708944,319.511771322,373.544457805,306.994396585,345.522650704,366.384983347,282.075540431,323.055229598,277.770240309,327.901564793,292.151710652,328.8996457,321.49980099,3.95768722591,298.630870251,361.531366101,303.450930716,286.303982962,311.29695761,328.339608632,359.489434321,320.965741824,336.34816321,289.423546267,307.5974333,315.469704639,338.84689344,3.95768722591,306.483908339,325.621310147,333.942211166,398.641347666,287.30555404,289.208487906,299.713357647,366.716283009,304.345168507,357.366705081,327.79796058,323.06884123,292.907137347,308.337542689,335.344860655,190.118087914,288.474869698,343.245483069,343.49228358,375.599346855,364.71264043,244.75865251,387.890372191,280.972971275,312.828892951,338.161881289,323.360644492,241.879894387,332.5589431,304.042666823,304.00928523,332.770109171
Peter Stack,301.443090256,264.794106689,0.0,276.236206325,246.709160404,229.519194286,244.572567147,267.281709428,313.895068408,207.958612234,3.75772507506,236.098676882,209.756086857,279.38293021,253.468512055,281.546046648,295.776382463,282.581416979,302.113093279,269.806021056,286.310261565,250.114326539,269.260020102,236.412347366,225.661129502,343.289175738,274.090595885,274.976722585,281.785393434,275.18226662,305.019546059,263.614135095,271.053167734,250.789077936,268.012495146,309.486162616,317.960045351,249.283706129,312.704081217,281.539441783,298.606110394,277.437756593,271.933334373,321.60004888,238.083115732,245.09607213,255.872308794,277.467557099,289.724756272,383.595658822,298.73158174,230.362571312,237.769677798,226.271846549,254.469057289,311.308573045,313.37815788,323.944266866,279.533347638,304.720914358,259.691277737,291.100566234,332.53831806,279.957880681,268.039790056,272.362334879,319.092341473,300.697171344,367.111470474,305.415979195,177.625604117,273.470169798,268.670586882,300.381111109,217.772125763,267.1184458,256.967124628,319.868754684,288.364665731,308.458638713,310.065993192,307.749709832,253.811800948,228.822953672,289.478102397,249.024793284,272.748161533,288.723373243,246.733480542,276.038679814,316.366324246,276.403299139,278.971480897,310.922833259,285.825524234,274.638155857,361.791085127,232.696657592,282.407041875,252.503405474,315.454027955,236.587428,297.023051802,288.797232308,303.488295262,282.791427544,288.991843416,286.840324386,198.847428954,255.263035663,347.665058497,255.047179485,250.667786977,293.628848766,328.543429421,313.24916682,277.605920017,240.420266425,260.501737087,299.50807366,269.391087336,278.333301936,214.944065111,256.995991139,305.57032141,208.868744758,216.69740868,284.502508869,287.537928137,330.830917453,270.48638938,321.727255596,262.446524141,305.301173985,319.338505075,243.853001135,266.841155881,242.028259159,283.329784848,251.382404107,277.716633448,280.021606477,3.75772507506,252.43253253,317.697339047,267.574212398,250.630049728,273.554756698,280.661635395,308.507344264,290.408021482,290.498630885,253.974126849,270.665829969,294.538500045,282.804968368,3.75772507506,258.787067181,289.671993894,289.036245042,350.100640192,249.421142231,252.86447691,257.188141822,318.647845095,270.887945504,315.796454921,275.813122486,285.455438052,257.319802587,273.752311865,286.622448494,159.384721397,255.054615899,282.245096566,307.056812856,332.114331499,316.659574791,190.222736637,339.645243362,251.529791455,276.38225497,310.853308422,287.59249406,212.901840158,287.76167018,256.996788428,271.656906286,291.490313114
Desson Thomson,309.462091943,271.418240323,278.28686098,0.0,253.552409716,232.550890144,245.89607539,281.683514228,331.732877163,203.483004248,3.72355203706,245.974322938,213.670803611,283.387771244,249.537461282,289.028627082,299.899211979,298.751672546,307.768871621,275.73546631,295.186058476,259.94950285,274.027408588,245.67250623,238.449396895,360.865877117,283.969965574,284.002524128,291.490144964,291.328463746,314.601711905,269.031453906,279.119556236,264.798103783,279.028144993,322.307671403,323.57919757,261.722684804,327.302165048,290.233307827,313.049542041,280.817194803,279.483944203,334.022616762,234.412170264,249.094183641,268.868565086,278.295962024,309.568703502,397.151344318,302.368186874,227.189733422,247.198636706,230.492377763,257.966811736,314.146215927,323.751264699,326.007105772,295.797158038,314.249320031,259.93670114,298.723882245,350.695843691,288.538363619,277.115716477,281.335424268,325.016686183,311.361914076,386.844644436,305.756802224,183.471251524,286.366167388,269.418807687,305.52496273,217.003697564,278.001502943,261.546774906,321.762133962,279.466183477,316.113625178,324.33033374,322.114551835,260.485669482,235.541194225,300.428914521,251.893759414,288.301490902,299.848136352,248.029737792,283.804202216,333.064144934,281.413462432,286.103961162,323.178874375,296.108577317,280.590979702,380.522409824,241.394884849,280.571486305,261.611832857,325.923584213,244.813805398,314.81001241,306.804477454,313.886268023,290.62448461,291.229615561,295.867521923,202.48721255,265.548070286,361.35881647,251.788609151,254.007674044,296.37839949,327.671443253,330.13205602,287.495073678,249.984010176,270.871058087,297.934416482,271.337119667,293.223393583,221.378236766,264.562587543,316.453004984,208.412899265,222.161588807,289.014405757,294.869760153,337.597009167,281.54986805,340.647841168,274.51010044,312.671334775,349.163344801,251.103572245,278.206237437,252.175607528,289.648810684,255.524114561,285.741668578,289.854630124,3.72355203706,268.026584237,331.450934438,274.012824198,260.716577536,279.893293256,291.401891529,336.203746445,295.752449219,310.476875279,256.32004482,279.739704151,298.403109129,294.646092332,3.72355203706,265.352032158,289.790650535,291.965210865,361.847082707,259.864513133,262.942882047,262.561494414,334.860748348,277.750883005,325.398094273,293.956054078,292.640128241,273.546429498,281.460473652,300.664647779,158.749780939,263.318280335,298.566101508,314.681658947,343.23937329,328.119158282,195.168891248,349.250945942,255.723618232,284.094395487,318.868350801,295.437009943,220.424293899,291.754687431,271.907928047,272.065288072,303.795020645
Calvin Wilson,340.112206696,311.716975441,303.854697629,301.751925517,0.0,263.80950679,254.060224833,320.241675138,362.572984609,235.045972831,3.94059049396,288.15207928,235.103880617,295.987572893,288.603414141,330.380926147,345.664947595,334.92766048,342.216718984,308.351754652,324.922757832,291.914620504,316.379179319,290.291689756,259.502002617,393.608091737,316.893562453,318.547818358,338.133303938,328.973998722,348.56370274,303.968028141,307.754845713,293.675514036,310.162967223,350.417724415,349.436728145,298.941047948,353.488027092,311.323645505,349.65323004,316.433748957,307.061589675,394.633969105,257.855644265,287.281138186,303.050058706,305.790416897,342.799111041,412.308376037,324.767067801,254.895186247,294.350935429,264.060510499,297.506630062,345.767796909,342.400224251,371.751043118,332.469726292,334.590284041,283.27638929,326.223833124,395.864931793,328.673725702,323.628564822,333.545322213,362.233747535,335.514189057,434.268177424,347.743241118,210.653219944,321.799873364,289.104483644,326.236829509,245.514673738,303.420139368,292.043757111,356.577940962,309.970106038,351.357104686,371.797237807,350.249955991,286.565584583,282.933417511,336.141590135,287.690758283,314.971322583,328.631769465,272.875545688,312.946107049,356.307225063,317.345645088,320.485349566,357.232662722,328.034153118,312.949941023,412.374757664,286.914843861,301.721798502,299.57484545,376.383532313,271.549576309,361.287574633,339.59706799,347.628019263,325.169853959,336.571322842,325.430108986,251.452148774,290.989981597,389.088799706,273.615440717,275.046620717,318.908338312,362.717866894,344.530362667,317.012340884,295.25930141,305.418533075,334.148219079,300.559719801,333.245416065,261.062293206,303.210600859,345.103106517,243.722453575,250.262538627,326.154653065,328.528092212,374.064515309,325.278392943,377.627941185,311.398164731,339.98668186,365.945734997,290.213852904,318.19754557,277.573555345,332.4705467,303.591785695,352.233746156,306.197435468,3.94059049396,305.746127913,361.747984523,307.276984892,287.830311334,311.082515786,332.25488645,358.2833461,312.140774681,331.426094701,285.631983595,309.279410588,308.033971193,345.222092948,3.94059049396,311.644364949,328.913758747,330.901428224,395.478579492,291.389092053,294.075305952,301.105623549,359.334807806,305.174071671,356.00583239,324.126843873,322.732216725,294.82652193,306.182827407,340.105528816,197.417380079,292.662732065,350.699218996,335.658185018,368.291424117,371.660464097,250.038685424,387.382377551,268.495162848,317.774615692,332.447651579,325.04986683,242.502185031,344.376366431,300.560826819,305.286732793,335.341757013
Robert Abele,266.240273474,226.455529629,236.630701815,237.068800829,221.594736838,0.0,220.725493512,238.219036506,280.435657334,179.79018113,3.21295683161,209.066185126,186.907255288,237.994586812,219.271896997,256.641098783,260.294736129,243.485229485,269.203109365,238.575955795,250.285165913,218.066654982,237.379717154,216.907888087,193.180872622,304.055377736,236.959768859,245.768217472,249.940312431,249.301785641,266.579920531,234.323715904,246.364043134,226.57442748,231.826305703,279.029636703,276.692747268,220.018884757,281.199230508,239.0668415,262.696082439,238.490931566,236.227094478,293.372056186,206.771708769,214.656882892,226.204061446,240.971713937,248.661466543,324.39892914,259.627088963,202.916733533,210.338167809,198.305562364,223.793304802,271.022651467,270.765504263,291.684714417,245.794149362,266.555767702,228.79185768,259.616943906,293.369410338,256.577986092,236.357231623,235.789622744,281.504721431,263.196888769,321.944381318,272.607280704,152.786043819,245.337819619,232.687794876,262.105831118,193.122629972,235.20154709,226.159325644,276.791301208,238.624457921,274.742867044,281.912892848,266.697326779,232.245768675,197.185357895,254.268851865,220.846278171,241.235342908,255.422352179,211.400934149,241.851426124,271.365003841,248.036164519,250.246124313,280.894648865,257.358951202,242.444004632,309.441848069,208.63231167,247.873892911,223.700023132,276.550876922,203.399446619,274.419992134,248.935201795,263.337128184,255.127189993,251.735985733,252.827352949,180.942436097,225.121213145,309.155362744,219.681862526,219.83977758,251.908284625,283.3891268,277.579530347,249.676315308,217.963684157,227.391516116,264.304754521,230.144753962,244.503412652,195.20591848,225.773208204,272.741223122,179.975372544,194.331116132,257.171056481,252.96170563,290.07783836,246.225435748,280.428221847,230.792353809,263.954326242,286.694074308,223.343326157,236.453169255,215.944328045,247.056767136,222.335565252,251.827464525,233.371238136,3.21295683161,233.210667103,270.847113971,234.460829302,219.446022953,238.692992886,250.659500292,275.453920121,247.517642481,255.052327511,223.238294115,239.416550778,255.170816426,255.106788589,3.21295683161,227.813359602,249.579388544,252.633350696,306.556641664,218.700514235,222.609691331,232.596589948,275.446838591,243.606867028,286.66526785,243.190881453,248.086629427,226.167059806,237.537448851,246.230786312,144.462976802,231.298115039,251.12312994,261.709959319,291.865298954,276.483572795,175.542109158,303.194537085,211.293911017,244.98935585,273.421864513,257.142266891,187.98845311,249.455092461,219.09414285,234.426093854,249.82406302
Peter Hartlaub,261.881551764,202.110397289,218.966436758,222.836443926,192.424701206,194.055091284,0.0,215.863934178,270.659938982,169.480619402,3.44642962816,180.925948926,176.22573543,234.89638409,213.574034986,254.427462746,237.213581435,224.904713149,243.812797492,223.306027508,235.028762611,195.392979295,229.742457545,192.001840768,189.22739909,291.39785444,223.278875541,223.496975818,233.525940249,234.352298763,245.165739145,218.866055852,231.484564674,212.953414108,211.61384232,259.650290838,274.574576434,208.40538232,275.559840478,231.457021036,247.388605843,228.865476259,213.993757971,276.013081814,207.023975096,200.949506565,206.888584479,224.124658619,227.142683396,307.873744432,259.235255989,208.395308811,181.222092124,170.439505141,209.091029219,284.844856051,250.335680655,266.319562584,224.496291595,264.206750336,220.136576197,250.703770245,262.808260931,237.211812792,210.355415066,199.106439394,264.742587852,256.06705905,295.065231625,261.932398579,136.643537491,237.916049435,225.609594254,264.29373416,190.356106673,215.911889371,209.546106663,261.90171231,233.228594587,255.504955601,251.704310339,257.138997131,214.902188777,168.938418973,232.241572798,221.779752557,216.61350834,241.069836493,200.917190326,239.250986835,255.887392144,225.26701767,229.257078194,243.573493326,234.564073098,233.928615846,292.614586209,190.76875763,257.40236273,200.212185265,261.422843552,185.891969344,244.581086049,227.34000993,228.160822154,244.80896429,227.732733885,239.126848654,156.064799919,206.761527832,291.012210034,223.895375101,221.351090172,254.757526181,263.416584851,269.987160578,239.236654556,200.357943931,208.399876525,257.769648263,218.076459121,220.301893295,169.947318243,212.580936191,258.205027489,161.89404946,173.982980234,244.366596282,232.957632177,266.530086468,223.516289468,260.619659731,210.188653834,257.167409375,260.830123342,207.789371284,209.022979472,200.000449065,229.351213626,197.226309333,204.249100414,209.811370591,3.44642962816,211.001909219,255.306995661,211.066437119,212.945044927,228.143804102,239.794015168,247.117486177,235.20198196,228.130131679,199.718790278,227.224438431,254.62283338,231.535213681,3.44642962816,209.742271488,236.617406523,231.457836853,296.474327165,203.838085594,198.857438988,209.757019522,257.518351795,247.441484685,263.351300166,214.253236061,240.167211877,209.460196589,228.773007423,216.870771324,127.254842951,218.740080113,223.688212226,264.672339961,261.227130529,263.008674826,143.848342314,287.810257978,204.06092644,247.822623313,264.509928599,233.05910204,174.714794283,226.773259721,193.710553452,224.557387234,226.078869204
Keith Uhlich,337.379442964,295.087829135,296.399632249,305.295677692,286.356063305,255.529397881,263.373019534,0.0,370.276410174,226.885637433,3.92961671392,277.893825675,230.188579649,300.492556492,280.006977671,323.171972238,333.890008624,340.480072526,339.597113181,300.095167178,327.073253631,293.46413934,305.152110763,279.494443253,263.791204025,398.937674279,324.669305067,327.351320444,331.784918516,321.013118573,345.938870584,301.067128837,306.194418844,292.151104089,299.050133106,358.044996614,344.255568309,294.821278432,367.73489776,315.328287273,352.93728691,323.11548535,298.938449711,379.679011892,254.879998283,286.290014091,304.999001356,298.755901821,345.327190507,412.905823518,333.017177828,247.684530018,275.891297061,258.103415453,297.079520542,350.707059594,336.317381354,359.937142902,332.762198252,346.649500677,278.202856316,319.594312915,393.653049398,319.463416494,319.732956911,324.485821673,354.133513196,335.593325152,436.04563392,347.647476102,206.869524757,327.704557703,291.303532706,337.725403166,240.70874904,306.362330517,285.074728225,358.823019387,307.702703518,344.397217219,366.139714582,356.01172458,284.277371717,266.551769353,323.498535967,280.103147353,308.198576053,344.211831179,288.351590052,321.663551261,362.047264201,310.401984263,320.285048665,349.497132952,323.478496384,310.538803083,415.130638871,274.811310734,306.821390424,301.305602712,368.45452933,265.793742463,363.295117069,333.43045411,357.451009427,316.77724918,329.104909329,321.464240131,235.206711399,290.787716164,404.748694328,273.149216533,278.173958125,313.100219091,363.620134382,347.626740833,310.563263166,286.697129762,300.208787746,327.329399408,300.433819412,328.523951362,247.315719136,304.503874834,353.224360143,225.315047965,242.50292007,323.383281645,333.824186901,371.1190795,311.986871911,381.935065352,303.610652709,347.598646282,383.042203325,282.136325252,315.000617146,274.084336985,329.515018779,290.508139484,329.177545889,304.103299133,3.92961671392,303.121942562,372.056364637,301.102670274,295.042153277,318.774766141,325.574698662,363.7748089,317.085573913,338.140457335,280.380160498,314.438252172,313.541712672,333.71423841,3.92961671392,301.954384364,322.527339602,331.552432474,394.937991966,284.041353672,284.350229001,295.906290135,363.888550354,306.206804613,365.942136676,324.668775965,319.138484527,288.206956557,299.882204586,336.754418156,181.856181595,290.52356068,345.176338287,337.553905816,360.404689239,376.417572081,235.424961359,382.262944324,267.896057437,319.252465945,343.492378846,316.566906934,243.352643909,328.959022486,290.341281918,299.45426694,332.559684675
Bill Goodykoontz,390.782019812,333.865056892,334.26242605,347.748522874,323.371676195,290.558848032,309.851477998,361.970892107,0.0,258.185338857,4.58562390911,309.524182629,266.997952995,346.007135512,319.431079528,368.823320303,376.959075183,379.32427258,393.186600525,342.758410681,369.190823104,325.386981289,347.466101529,329.866435719,297.863817028,458.145557411,355.910849049,360.634553428,376.975059422,366.880112178,392.853835788,334.651816394,349.477681508,336.143503233,337.626661904,412.897178754,411.555373389,335.519515576,422.633995146,360.04630203,399.655091413,370.446235704,349.256415373,445.322006906,296.582314774,315.403091534,338.272905587,340.027886712,385.703561149,473.620782541,383.940634967,282.778151415,307.609588137,286.619081873,334.975863065,403.176139061,393.291337537,412.474625413,375.983291176,401.902109453,325.178147169,377.105920915,445.206475668,367.924633863,350.238572448,356.451269388,413.568306822,381.23802042,496.842590343,398.253201926,225.002137585,363.735053607,333.016205862,387.929164051,276.344391625,343.905148884,315.216268527,402.622809316,350.435901259,393.829698045,414.922920681,403.491500386,331.523656546,292.447030592,374.084563789,318.935968499,353.21539154,378.697878489,308.497529925,364.282802599,418.026520766,351.687480755,361.169244958,396.182065916,379.075228996,351.857921022,475.399612385,312.534184792,356.684080947,335.463439747,417.463908421,300.846759939,414.522956971,377.052208404,393.35050652,364.339056704,367.231905556,372.533922523,258.64444938,330.795440199,458.478525388,317.723790567,314.955548206,369.32928997,411.459131001,399.897088369,356.512069058,317.995337806,342.555931178,377.351952371,341.692903804,368.64439675,278.836666438,337.251803679,408.356413332,253.119113026,276.881853432,371.632883796,366.67733318,423.346866631,353.687627096,433.218174202,342.719093157,391.732604985,434.33841823,320.91409082,360.645650948,320.007351652,366.969114004,332.056415364,374.192835106,344.084967196,4.58562390911,342.052484624,417.91889703,342.741875209,331.874200589,348.584229685,370.116646753,416.519089803,357.686959799,386.578839544,321.302260708,349.985976523,367.516179589,386.228278103,4.58562390911,344.184756948,365.884584675,368.553135633,462.274896595,317.512498007,324.826729717,336.042947276,411.33377922,345.984016916,422.878980389,367.157092774,357.990948263,333.316062395,349.652310628,378.923555659,201.86180539,326.4312477,385.211321513,386.40463975,418.563955142,428.653613621,259.440518795,444.634651692,307.133920354,370.399537459,393.294687098,367.088016835,276.514705809,376.665467569,330.056282967,348.009935833,380.536310035
Marjorie Baumgarten,260.980327692,226.801414127,233.694887487,225.542691333,217.683716997,196.623829172,206.809734345,232.862979102,270.635556068,0.0,3.35028851867,207.995117838,190.714957283,231.92473172,217.65997073,252.504240243,254.585278298,240.258670827,256.776770323,232.671297906,241.336419456,218.986314587,230.116938186,207.889591038,194.844976899,292.662859292,230.477475242,241.450632984,243.879082197,242.045565288,260.24625965,234.954497088,243.206530948,218.509905663,226.051807283,265.90445713,273.933951012,218.915830218,274.127274789,237.616494323,263.776297474,235.428658953,232.241303158,282.40655652,207.495778448,219.402580366,219.782906253,233.289102938,238.694299186,312.385300415,256.070276554,202.020667804,213.277589907,195.699524233,221.300455337,270.626699096,257.630269597,280.268256942,242.903824491,255.752798217,224.59266813,254.037732735,280.15523919,245.949211994,237.583973972,233.58659964,273.724105233,257.430819726,313.550625764,266.966342216,158.091850161,237.362733789,225.650467323,255.17149203,193.821565225,232.646835865,227.810492346,266.675747129,239.742013121,263.46549022,271.349529217,258.610287017,219.234977724,201.734371249,246.482342554,221.335022966,233.143103489,251.662719529,209.752108501,235.8870224,261.370797297,243.776429732,241.462356071,264.299304057,245.410660932,237.313467547,297.196081486,213.649010439,242.370916966,221.419226568,270.199675857,202.392148375,257.868650997,241.518791958,253.270742587,245.849469185,258.884322695,246.200157655,185.014299318,215.233004949,299.701073365,218.64565734,219.110315867,249.372469747,274.750501302,264.281597389,239.493834631,212.981802125,225.88348421,258.996721638,229.718465665,240.072839626,192.347845558,225.740170498,268.082625673,184.201229346,184.717018851,248.640532112,256.195687557,285.893118251,235.629667516,272.955505447,224.594950367,253.464839151,258.622674831,216.30296015,233.013425244,210.559177656,244.116116155,223.370346698,244.604162839,230.890415871,3.35028851867,227.931189895,265.339851431,227.985693109,216.947954115,237.987372265,250.230037754,254.697756793,242.908184839,244.832616952,222.539492589,236.427238048,242.31701764,247.363914195,3.35028851867,227.320151641,248.160084871,249.338962972,300.311138487,216.256616937,216.415656037,228.555204671,269.5703221,242.681636243,270.674948993,227.741185882,243.213246334,219.072986409,226.954595753,248.140707064,145.856714347,226.256624237,250.764235399,251.904700952,279.076150723,279.305485562,178.777372005,296.86631105,207.556541292,241.228830904,261.21315353,254.66504061,183.334762644,249.978637891,212.464321162,230.587581112,246.825411615
