,Peter Travers,Jeannette Catsoulis,Peter Stack,Desson Thomson,Calvin Wilson,Robert Abele,Peter Hartlaub,Keith Uhlich,Bill Goodykoontz,Marjorie Baumgarten,Kate Erbland,Michael Rechtshaffen,David Wiegand,Jonathan Rosenbaum,Wesley Morris,William Arnold,Michael O'Sullivan,Tom Huddleston,Nick Schager,A.A. Dowd ,Claudia Puig,Tim Robey,Moira Macdonald,Noel Murray,James Rocchi,David Ansen,Richard Schickel,Richard Brody,John DeFore,Clark Collis,Melissa Maerz,Lou Lumenick,Bill Zwecker,Michael Sragow,Ken Fox,Boyd van Hoeij,Robert Lloyd,Shawn Levy,Elizabeth Weitzman,Chris Hewitt (1),Bob Graham,Roger Moore,Randall Colburn,Helen O'Hara,Matt Brennan,Jordan Raup,Stephen Dalton,Rick Groen,Liam Lacey,Kim Newman,Bob Mondello,Betsy Sharkey,Eric Kohn,Manohla Dargis,Nigel M Smith,Randy Cordova,Gregory Ellwood,Nicolas Rapold,Sheri Linden,Rita Kempley,Barry Hertz,Clayton Dillard,Charlie Schmidlin,Nathan Rabin,Erik Adams,Kate Taylor,Barbara VanDenburgh,Jamie Graham,Steve Davis,Alan Scherstuhl,Jonathan Curiel,Dennis Harvey,Nick de Semlyen,Catherine Shoard,Jaime N. Christley,Dominick Suzanne-Mayer,Amy Taubin,Jami Bernard,Jonathan Foreman,Clarence Tsui,Brad Wheeler,Rex Reed,Anthony Lane,David Edelstein,Miriam Bale,Scott Tobias,Peter Keough,Luke Y. Thompson,Pete Vonder Haar,Serena Donadoni,Kevin Maynard,Amy Biancolli,Neil Genzlinger,Ann Hornaday,Stephanie Zacharek,Tom Keogh,V.A. Musetto,Sean Axmaker,Bill White,Mary Pols,Damon Wise,Andrew Pulver,James Mottram,Allan Hunter,Bryan Bishop,Rory O'Connor,Kevin P. Sullivan,Ben Kenigsberg,Molly Eichel,Farran Smith Nehme,Nathan Lee,Bosley Crowther,Mick LaSalle,Desmond Ryan,Marc Mohan,Edward Guthmann,Neva Chonin,Mark Jenkins,Gary Arnold,Alan Zilberman,Kirk Honeycutt,Justin Lowe,Elizabeth Kerr,Andrew O'Hehir,Andrea Gronvall,Elise Nakhnikian,Sam C. Mac,Zach Campbell,Chris Kaltenbach,Lisa Alspector,Glenn Heath Jr.,Oleg Ivanov,Kevin C. Johnson,Michael Roffman,Justin Gerber,Sarah Kurchak,Rodrigo Perez,Cath Clarke,Nick Allen,Robert Yaniz Jr.,Matt Donato,Wendy Ide,Michael Snydel,Dan Mecca,Kyle Anderson,Russell Smith,David Chute,Ernest Hardy,Chris Packham,Sherilyn Connelly,Todd McCarthy,Roger Ebert,Mike Hale,Stephen Hunter,Elvis Mitchell,Pauline Kael,Owen Gleiberman,Justin Chang,Peter Rainer,David Rooney,Richard Corliss,Richard Roeper,Jessica Kiang,Joe McGovern,Brian Lowry,Todd VanDerWerff,A.O. Scott,Kevin Thomas,Stephen Holden,Dave Calhoun,John Bleasdale,Lisa Schwarzbaum,Ignatiy Vishnevetsky,Kenneth Turan,Rene Rodriguez,Mike Clark,Susan Wloszczyna,Guy Lodge,Dan Fienberg,Peter Bradshaw,Chuck Bowen,Ty Burr,Sheila Benson,Vincent Canby,Kevin Jagernauth,Tim Grierson,John Anderson,Andy Webster,Mike D'Angelo
Peter Travers,100,0.9375,,-16.625,-7.3892215568862278,7.3939393939393936,-0.73076923076923073,8.5057471264367823,-2.6682464454976302,6.2957198443579765,-0.12195121951219512,-4.0999999999999996,-12.0,,1.819672131147541,-20.0,3.4814814814814814,2.5903614457831323,4.0138888888888893,3.1384615384615384,-3.4985994397759104,8.068965517241379,1.4571428571428571,4.1428571428571432,8.5609756097560972,7.75,-17.0,4.6470588235294121,0.68604651162790697,-22.777777777777779,-15.0,4.0031746031746032,-20.076923076923077,,11.111111111111111,7.6363636363636367,,-2.1666666666666665,5.9876543209876543,-5.5172413793103452,1.5,2.7161016949152543,0.375,-2.0731707317073171,14.0,2.2105263157894739,6.9375,2.7317073170731709,2.2270270270270269,-6.2592592592592595,0.13333333333333333,-3.7290836653386452,0.1357142857142857,-6.6421052631578945,8.0800000000000001,-4.7575757575757578,0.83333333333333337,2.0,1.5254237288135593,-7.25,5.2999999999999998,28.714285714285715,6.7368421052631575,2.2346938775510203,4.5,4.0851063829787231,0.38297872340425532,-2.0487804878048781,8.7368421052631575,1.5047619047619047,,3.2799999999999998,3.875,11.727272727272727,15.75,5.1600000000000001,,-60.0,,-16.75,-3.4761904761904763,7.8673835125448033,7.5,-7.4500000000000002,,1.2119565217391304,5.3499999999999996,,-2.0,2.6666666666666665,,-2.1888888888888891,-20.90909090909091,5.3281653746770026,-8.758064516129032,0.0,3.8999999999999999,-40.25,16.5,-0.36752136752136755,-3.129032258064516,6.7619047619047619,-3.6428571428571428,-6.4000000000000004,-0.33333333333333331,8.1111111111111107,-7.083333333333333,-0.20833333333333334,0.16666666666666666,2.5333333333333332,,-65.0,-0.66576819407008081,12.0,1.5958549222797926,-18.5,,2.6000000000000001,,10.199999999999999,-4.5593220338983054,-3.3333333333333335,13.0,-8.1219512195121943,-5.5454545454545459,12.914285714285715,12.555555555555555,,-75.0,,-2.0,-5.5714285714285712,-11.956521739130435,4.4444444444444446,-3.5,-4.7000000000000002,7.333333333333333,2.9545454545454546,-6.0,9.0,8.2272727272727266,-4.666666666666667,8.2142857142857135,-4.0909090909090908,-30.0,-67.0,,2.3333333333333335,2.2222222222222223,0.5,1.8566552901023892,-16.711864406779661,0.59999999999999998,-20.857142857142858,10.0,,-10.161538461538461,-0.34230769230769231,2.4277227722772277,1.3287671232876712,1.263157894736842,-4.75,2.5,-7.4705882352941178,-6.5,13.0,1.8645833333333333,-12.5,2.4146341463414633,4.7027027027027026,12.191489361702128,-8.4746835443037973,-1.1307692307692307,-1.3250883392226149,5.7675840978593271,13.5,0.071428571428571425,0.63157894736842102,,4.3651685393258424,14.5,2.9785202863961815,-12.0,-5.25,6.8620689655172411,6.3018867924528301,-4.5,5.0,5.7592592592592595
Jeannette Catsoulis,-0.9375,100,,-10.0,-10.5,5.1111111111111107,-2.8999999999999999,16.428571428571427,-4.4444444444444446,5.5263157894736841,,0.94444444444444442,-5.0,-20.0,5.2159090909090908,-10.125,7.4827586206896548,3.3333333333333335,8.4027777777777786,-4.3125,-5.0,-20.0,2.0,-1.6307692307692307,10.0,-10.0,,,0.12820512820512819,-18.75,,4.7209302325581399,,,-16.933333333333334,-5.0,,-1.7931034482758621,5.333333333333333,-10.0,,-3.9629629629629628,,0.0,,,10.0,3.8461538461538463,2.7931034482758621,-2.0909090909090908,-0.38461538461538464,-2.6785714285714284,-9.415094339622641,-6.9230769230769234,,-3.3333333333333335,15.0,5.0,-9.1304347826086953,,,20.0,5.0,6.4871794871794872,,,2.8571428571428572,-20.0,7.1428571428571432,-9.25,-45.0,-0.9464285714285714,-30.0,,-8.5,,,,,20.0,-10.0,-4.3499999999999996,3.3333333333333335,-10.833333333333334,20.0,0.40579710144927539,-9.1111111111111107,,5.0,,,10.944444444444445,,2.8148148148148149,-10.0,,4.7738095238095237,-9.2142857142857135,-6.0,2.5,13.333333333333334,6.25,-18.75,,,-30.0,,40.0,15.0,7.2758620689655169,,,6.4130434782608692,,-10.631578947368421,-5.0,,2.7999999999999998,,,-2.5,-13.333333333333334,,5.0,2.6923076923076925,-5.5,,,,,15.5,,17.0,-30.0,,,8.75,0.0,,,,-10.0,,,,,20.0,-1.5517241379310345,12.5,,9.4117647058823533,-16.857142857142858,-5.0,-26.666666666666668,,,-8.3209876543209873,-2.1739130434782608,-2.1833333333333331,-5.0,1.5,-5.0,3.0,32.0,,,14.285714285714286,-13.199999999999999,6.6875,15.0,30.0,-7.3809523809523814,0.090909090909090912,-4.7435897435897436,3.2000000000000002,-23.0,5.666666666666667,1.6666666666666667,,7.1428571428571432,9.3939393939393945,-1.8500000000000001,,,2.8181818181818183,-10.0,0.0,,-3.3846153846153846
Peter Stack,,,100,15.71875,,,,,,16.705882352941178,,0.0,,-9.2727272727272734,6.0,,16.571428571428573,,,,,,,-1.0,,,7.083333333333333,,,,,-31.5,,,17.111111111111111,,,,,,,,,15.0,,,,,,-15.0,,25.0,,13.333333333333334,,,,,,11.432432432432432,,,,,,,,,17.800000000000001,,,22.5,,,,,,-20.0,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,14.722222222222221,,,,,,,,,,,,,,,,6.9000000000000004,,-10.0,,,2.1212121212121211,-3.25,,9.615384615384615,4.375,70.0,-1.1428571428571428,-22.5,26.5,5.0,3.75,,,,0.0,,2.6842105263157894,-20.0,4.6969696969696972,,,10.5,,,,-25.0,,,,0.0,,-13.0,,38.333333333333336,,,,,
Desson Thomson,16.625,10.0,-15.71875,100,,-20.0,-2.1428571428571428,-10.0,-70.0,-0.94444444444444442,17.0,-3.3333333333333335,-70.0,-9.1428571428571423,0.097560975609756101,-11.471153846153847,12.909090909090908,27.5,5.0,13.333333333333334,-6.430769230769231,27.5,,-6.8571428571428568,10.0,7.666666666666667,-5.4347826086956523,,20.0,0.0,,1.3999999999999999,,20.0,3.8918918918918921,10.0,,1.2,0.0,,-7.6849315068493151,1.0833333333333333,,,,,,50.0,-6.5714285714285712,5.0,-10.0,-6.0,-7.75,-4.6296296296296298,,10.0,30.0,,,1.8934911242603549,,-15.0,38.0,-38.5,,20.0,5.0,,5.7894736842105265,-10.0,-17.857142857142858,-9.5833333333333339,,,,,,16.666666666666668,-19.0,,30.0,19.666666666666668,30.0,-5.0,,-11.4,7.0,,,,,,,2.8153846153846156,,,11.0,-5.8507462686567164,7.25,,-20.0,,10.0,,,,,,,,16.666666666666668,,-5.0471698113207548,17.0,3.75,-1.8860759493670887,,-30.0,,,,,,-10.0,-3.75,,,-60.0,-20.0,1.1111111111111112,,,,,,,26.0,-10.0,,10.0,-30.0,,,,,-10.263157894736842,0.0,-2.5,0.0,,-5.8988764044943824,-23.425000000000001,,-1.3567251461988303,-11.904761904761905,,-3.0714285714285716,5.5555555555555554,-8.5789473684210531,-9.67741935483871,-3.9682539682539684,45.0,-34.0,,-6.666666666666667,,1.7142857142857142,-13.333333333333334,-4.5864661654135341,,,2.25,12.0,-1.1538461538461537,-4.5,-7.6039603960396036,-14.357142857142858,5.0,,-10.0,-30.0,-7.390625,,5.0,25.0,25.0,,,-27.0
Calvin Wilson,7.3892215568862278,10.5,,,100,8.3913043478260878,4.8181818181818183,17.399999999999999,3.2666666666666666,12.47191011235955,9.0,12.333333333333334,0.0,,16.777777777777779,,11.108695652173912,14.666666666666666,25.904761904761905,12.245283018867925,5.9838709677419351,14.542857142857143,3.5,6.6071428571428568,11.76923076923077,-2.0,8.0,-2.375,9.5,,-25.0,11.652777777777779,-12.666666666666666,,,4.333333333333333,,7.1707317073170733,14.300000000000001,4.083333333333333,,12.32824427480916,12.666666666666666,7.416666666666667,7.5999999999999996,12.375,21.5,9.545454545454545,13.727272727272727,-1.8888888888888888,5.4827586206896548,4.5116279069767442,5.7093023255813957,1.7142857142857142,24.846153846153847,-5.0,7.5454545454545459,,10.800000000000001,,9.75,21.0,12.0,8.2666666666666675,,15.869565217391305,8.0714285714285712,-0.70588235294117652,11.4,12.0,-50.0,10.75,6.25,21.5,25.0,11.923076923076923,,,,,4.3043478260869561,16.487179487179485,11.692307692307692,-5.4285714285714288,,13.146341463414634,11.44,,,25.0,,6.958333333333333,-5.0,9.7983870967741939,-6.7199999999999998,,7.875,13.0,23.0,11.958333333333334,5.5,2.0,9.0,6.5,9.0,1.0,3.0,,2.0,8.3333333333333339,,,4.9083333333333332,,5.6500000000000004,,,11.625,,9.5,8.0434782608695645,,,-4.2173913043478262,-5.0,22.75,18.5,,,,-13.0,5.2000000000000002,,9.0,5.0,-3.1666666666666665,11.9375,0.66666666666666663,,,16.285714285714285,,12.888888888888889,0.83333333333333337,-37.0,,,-0.66666666666666663,11.5,,12.628571428571428,-10.050000000000001,,,,,1.2380952380952381,8.9124999999999996,13.775641025641026,5.791666666666667,12.171428571428571,0.80952380952380953,0.23999999999999999,7.9090909090909092,,,11.844444444444445,-3.5,0.82352941176470584,9.3076923076923084,15.045454545454545,3.9487179487179489,3.5555555555555554,6.8901098901098905,13.447916666666666,,9.3478260869565215,5.0,,9.6551724137931032,24.666666666666668,8.1092436974789912,,,14.571428571428571,14.244897959183673,12.0,,9.625
Robert Abele,-7.3939393939393936,-5.1111111111111107,,20.0,-8.3913043478260878,100,-2.5,-1.7857142857142858,-7.3076923076923075,2.1458333333333335,2.2999999999999998,-5.3125,-20.0,,-2.7692307692307692,,6.7846153846153845,5.0,5.1818181818181817,-6.7884615384615383,-7.7948717948717947,1.2962962962962963,-11.699999999999999,-4.4363636363636365,-14.800000000000001,,-10.0,-10.0,-2.3888888888888888,-21.800000000000001,,2.9393939393939394,-31.5,,,-2.8571428571428572,,-12.714285714285714,0.45454545454545453,-6.0,,-4.8848920863309351,10.800000000000001,20.0,30.0,-2.0,-6.0,-8.7142857142857135,2.5625,-15.3125,-14.0,,-9.7297297297297298,-2.3809523809523809,-0.7142857142857143,-17.272727272727273,-7.7999999999999998,-4.4444444444444446,-4.25,50.0,3.7333333333333334,9.9411764705882355,-10.0,5.3783783783783781,,-4.8461538461538458,-5.3703703703703702,-7.1428571428571432,0.875,-6.3114754098360653,,-3.3846153846153846,-9.0,-10.0,4.5,-1.7142857142857142,,,,,-25.5,1.3766233766233766,5.5,2.0,-22.5,0.36986301369863012,-3.4545454545454546,5.0,-3.3333333333333335,-14.0,,10.909090909090908,-5.7894736842105265,2.2666666666666666,-14.375,-0.40000000000000002,-10.4,20.0,,6.666666666666667,-16.666666666666668,0.0,-6.4285714285714288,-2.5,-17.5,10.0,1.8571428571428572,-5.8888888888888893,-16.5,6.1136363636363633,,-55.0,-13.636363636363637,,-0.26666666666666666,25.0,,-4.8636363636363633,,0.59999999999999998,-7.0,-1.0526315789473684,,-10.0,10.0,8.8333333333333339,0.0,,,,-2.0,11.5,-7.0,-2.3999999999999999,3.0,-6.75,-7.2800000000000002,3.0,-2.6666666666666665,-7.5,-3.3333333333333335,2.0,16.666666666666668,-7.0,-20.0,,,-8.75,-5.2631578947368425,-2.5,-0.13157894736842105,-15.333333333333334,-3.75,13.5,,,-8.4666666666666668,-2.9365079365079363,-4.8076923076923075,-0.30303030303030304,-2.5,-17.03125,-6.1600000000000001,-10.0,15.0,,-4.2105263157894735,-30.0,-2.2222222222222223,-5.0,1.3157894736842106,-5.9411764705882355,-8.5833333333333339,-8.6111111111111107,-3.6511627906976742,-13.0,-2.1428571428571428,-6.7241379310344831,,1.5909090909090908,-2.532258064516129,1.2222222222222223,,,1.7931034482758621,-2.9310344827586206,10.0,-10.0,0.014705882352941176
Peter Hartlaub,0.73076923076923073,2.8999999999999999,,2.1428571428571428,-4.8181818181818183,2.5,100,10.3125,-2.5,6.3375000000000004,-0.83333333333333337,-6.833333333333333,,-5.0,-2.6279069767441858,-9.2702702702702702,6.3382352941176467,3.75,4.7777777777777777,-2.7058823529411766,-1.3170731707317074,3.8461538461538463,2.6153846153846154,0.66666666666666663,-1.8,-5.0,12.5,-15.0,-8.5294117647058822,-19.333333333333332,,5.024390243902439,-19.166666666666668,25.0,-8.195652173913043,5.0,,-5.0,-1.4285714285714286,1.875,,1.5106382978723405,-16.75,1.6666666666666667,,2.25,15.0,-3.8999999999999999,4.5,-3.8888888888888888,3.2352941176470589,0.97222222222222221,-3.6666666666666665,-5.3260869565217392,25.0,-19.166666666666668,8.25,8.3333333333333339,-4.5454545454545459,,-9.625,63.0,4.25,-2.9333333333333331,8.0,-0.125,-5.0,-6.25,10.764705882352942,7.083333333333333,,0.0,0.0,15.0,16.666666666666668,4.6363636363636367,,,,-5.0,-7.0,13.789473684210526,4.6428571428571432,-8.8888888888888893,-13.333333333333334,5.243243243243243,-7.3571428571428568,,,,,,-5.7142857142857144,4.7199999999999998,-16.25,,2.1176470588235294,-3.2352941176470589,6.666666666666667,1.25,-25.0,15.0,-30.0,,1.25,25.0,-25.0,14.25,6.25,-4.333333333333333,-5.333333333333333,,-25.0,,-0.88888888888888884,,,0.45454545454545453,,19.0,-2.7777777777777777,-11.875,-25.0,-10.0,1.7708333333333333,6.0,15.5,,,,-3.25,18.5,2.3999999999999999,33.5,,-4.0,8.4285714285714288,2.3076923076923075,,7.5,10.833333333333334,5.0,8.0,,-12.5,30.0,,-10.0,-8.0,5.0,2.4193548387096775,-26.705882352941178,2.1428571428571428,1.6666666666666667,,,-7.6990291262135919,-1.4285714285714286,-1.3820224719101124,6.0,-1.1111111111111112,-6.5,4.25,8.5,1.9444444444444444,,-1.7307692307692308,-5.0,5.9259259259259256,1.25,11.666666666666666,-9.8545454545454554,-3.7272727272727271,-5.8974358974358978,8.2941176470588243,-2.5769230769230771,0.45000000000000001,-13.333333333333334,,5.7894736842105265,9.375,-0.25,,,-1.3076923076923077,6.9565217391304346,,0.0,1.0
Keith Uhlich,-8.5057471264367823,-16.428571428571427,,10.0,-17.399999999999999,1.7857142857142858,-10.3125,100,-21.212121212121211,-5.854166666666667,-11.0,-1.6666666666666667,,,-6.4736842105263159,,-4.8200000000000003,-2.2222222222222223,-2.5675675675675675,-8.8888888888888893,-9.1232876712328768,-1.0526315789473684,-28.0,-4.6428571428571432,-18.166666666666668,,,-15.0,-11.470588235294118,-23.75,,-3.0333333333333332,,,10.0,-1.1111111111111112,,-13.0,3.5714285714285716,10.0,,-9.787234042553191,,-11.428571428571429,,,-12.5,-12.720000000000001,-6.9268292682926829,-15.0,-16.0,-12.333333333333334,-11.383561643835616,-16.578947368421051,,5.0,,3.0,-5.7142857142857144,20.0,2.0,0.16666666666666666,-18.5,-7.7142857142857144,,,-5.7142857142857144,0.0,-1.8571428571428572,-11.463414634146341,,-1.1111111111111112,0.0,4.0,3.0,,,,,,,-2.9090909090909092,-10.0,-10.0,-20.0,-6.2352941176470589,-2.1923076923076925,,-7.5,-5.0,,-8.8888888888888893,-2.5,-3.2380952380952381,-18.571428571428573,,-19.875,-10.0,,-11.5,-14.0,-8.8888888888888893,-16.0,,,,-12.0,-5.4117647058823533,-15.0,-2.870967741935484,,,-4.7761194029850742,,-9.1363636363636367,-15.0,,-5.5454545454545459,,,-10.0,-8.0,,-23.076923076923077,,-15.0,,,,,0.66666666666666663,,-12.0,,,,-1.1578947368421053,-10.0,,,,,,,,-18.0,,-16.0,-8.3333333333333339,20.0,-7.741935483870968,-33.454545454545453,10.0,-11.0,,,-20.285714285714285,-2.2641509433962264,-10.087378640776699,-7.6190476190476186,-8.3673469387755102,0.66666666666666663,-4.2608695652173916,,10.0,5.0,-8.870967741935484,-10.0,-8.387096774193548,0.0,-14.285714285714286,-13.0,-3.0689655172413794,-13.5,-3.0892857142857144,,-7.4375,-2.0,,-4.084507042253521,-6.0625,-8.301075268817204,,30.0,-0.076923076923076927,,-10.0,-20.0,2.7435897435897436
Bill Goodykoontz,2.6682464454976302,4.4444444444444446,,70.0,-3.2666666666666666,7.3076923076923075,2.5,21.212121212121211,100,12.495412844036696,5.0,2.1052631578947367,,,12.333333333333334,23.0,10.014492753623188,9.1999999999999993,17.060606060606062,5.9186046511627906,3.4090909090909092,10.0,-0.95454545454545459,6.9420289855072461,22.363636363636363,20.0,,0.0,7.4358974358974361,7.0,-7.5,8.1532258064516121,-8.0,,40.0,5.384615384615385,,5.5733333333333333,12.903225806451612,0.0,,9.7823129251700678,13.0,4.5454545454545459,-10.0,7.5714285714285712,12.857142857142858,10.964912280701755,12.181818181818182,-0.43478260869565216,1.8181818181818181,1.1224489795918366,2.6187050359712232,2.3214285714285716,8.75,,-1.0,14.0,9.2857142857142865,,-2.3846153846153846,21.5,0.22222222222222221,12.449999999999999,,1.6000000000000001,,1.3333333333333333,12.964285714285714,5.384615384615385,,6.4285714285714288,2.5,11.666666666666666,31.0,6.7777777777777777,,,,10.0,4.0,16.445544554455445,10.0,-5.9322033898305087,,8.1600000000000001,9.0285714285714285,,10.0,,,5.9302325581395348,10.0,7.1465968586387438,-6.8367346938775508,14.5,6.0,23.0,,12.564102564102564,3.3333333333333335,7.5,0.90909090909090906,0.0,0.0,4.7999999999999998,2.0,11.0,-4.333333333333333,6.5999999999999996,,,8.4013605442176864,,4.1938775510204085,,,15.481481481481481,,22.5,16.153846153846153,13.333333333333334,,-5.0,12.5,17.75,24.0,,,,29.0,2.3333333333333335,15.0,-0.16666666666666666,,-2.2000000000000002,0.40000000000000002,7.5,,,17.5,10.0,0.16666666666666666,40.0,,,,-10.0,10.0,0.0,6.7676767676767673,-9.3333333333333339,,75.0,,,-1.0208333333333333,5.5102040816326534,9.5344827586206904,-1.2195121951219512,9.0425531914893611,-0.91304347826086951,-3.2285714285714286,-11.25,10.0,,8.5999999999999996,-5.0,4.5161290322580649,6.0,7.5,-0.171875,11.621621621621621,2.0129870129870131,9.462025316455696,,3.52,2.2727272727272729,,10.0,13.521739130434783,6.7802197802197801,,,5.7999999999999998,7.2727272727272725,16.666666666666668,0.0,11.051282051282051
Marjorie Baumgarten,-6.2957198443579765,-5.5263157894736841,-16.705882352941178,0.94444444444444442,-12.47191011235955,-2.1458333333333335,-6.3375000000000004,5.854166666666667,-12.495412844036696,100,0.090909090909090912,-12.541666666666666,,-9.3541666666666661,-6.7252252252252251,-14.626760563380282,-4.419354838709677,4.166666666666667,3.1764705882352939,-3.1265822784810124,-9.2506082725060832,1.7083333333333333,-10.64516129032258,-6.0886075949367084,2.3500000000000001,-7.2222222222222223,-2.5454545454545454,-5.833333333333333,-6.5686274509803919,-11.6,-29.0,-2.2531645569620253,-33.0,,-8.9836065573770494,-11.571428571428571,,-8.5,-0.085714285714285715,-8.4166666666666661,-4.0,-1.0909090909090908,-2.75,3.8888888888888888,8.1428571428571423,-2.1666666666666665,-8.25,-5.0470588235294116,-3.6475409836065573,-10.244444444444444,-8.6617647058823533,-8.2214285714285715,-10.664335664335665,-11.342857142857143,3.6153846153846154,-1.0714285714285714,-2.4117647058823528,-7.25,-4.1714285714285717,4.71875,0.9375,-3.0,-8.1999999999999993,-5.5869565217391308,,2.1666666666666665,-4.3913043478260869,-9.2727272727272734,37.0,-3.5686274509803924,-28.111111111111111,-9.720930232558139,-1.75,0.125,-3.9090909090909092,-4.083333333333333,,-20.0,0.0,,-9.6500000000000004,-3.7851851851851852,4.1063829787234045,-15.180327868852459,0.0,-4.3971631205673756,-0.5357142857142857,,3.0,-16.0,,-3.7272727272727271,-24.0,-2.9385245901639343,-14.380952380952381,,-7.6410256410256414,-11.586538461538462,-0.20000000000000001,-7.587301587301587,-13.0,-0.77777777777777779,-6.1500000000000004,-7.666666666666667,-25.0,-10.0,-11.0,-1.6923076923076923,-5.7999999999999998,-0.095238095238095233,-16.399999999999999,,-5.6862244897959187,,-6.6846153846153848,-10.045454545454545,,-4.5476190476190474,,16.0,-7.9433962264150946,-10.777777777777779,,-17.0,-7.7121212121212119,1.3888888888888888,-25.0,,-25.0,-24.181818181818183,0.55555555555555558,-35.0,-11.416666666666666,-12.333333333333334,0.0,-12.5,-2.8666666666666667,-4.9230769230769234,,-6.5,-3.4285714285714284,-20.0,11.5,-7.75,-5.0,,-12.0,-11.375,0.66666666666666663,12.0,-3.2151394422310755,-25.378787878787879,-10.25,6.0444444444444443,9.5,,-13.375,-6.3018867924528301,-6.7999999999999998,-7.2333333333333334,-6.5333333333333332,-6.5999999999999996,-8.0555555555555554,-6.1111111111111107,-5.875,,-4.856502242152466,-18.800000000000001,-7.7954545454545459,-2.8799999999999999,3.7727272727272729,-14.777777777777779,-2.9821428571428572,-8.2135416666666661,-0.75510204081632648,-9.526315789473685,-4.833333333333333,-3.0909090909090908,,-0.56976744186046513,7.5,-6.5149863760217981,,7.75,7.0499999999999998,3.9534883720930232,9.5,-9.5,-0.75
