,Peter Travers,Jeannette Catsoulis,Peter Stack,Desson Thomson,Calvin Wilson,Robert Abele,Peter Hartlaub,Keith Uhlich,Bill Goodykoontz,Marjorie Baumgarten,Kate Erbland,Michael Rechtshaffen,David Wiegand,Jonathan Rosenbaum,Wesley Morris,William Arnold,Michael O'Sullivan,Tom Huddleston,Nick Schager,A.A. Dowd ,Claudia Puig,Tim Robey,Moira Macdonald,Noel Murray,James Rocchi,David Ansen,Richard Schickel,Richard Brody,John DeFore,Clark Collis,Melissa Maerz,Lou Lumenick,Bill Zwecker,Michael Sragow,Ken Fox,Boyd van Hoeij,Robert Lloyd,Shawn Levy,Elizabeth Weitzman,Chris Hewitt (1),Bob Graham,Roger Moore,Randall Colburn,Helen O'Hara,Matt Brennan,Jordan Raup,Stephen Dalton,Rick Groen,Liam Lacey,Kim Newman,Bob Mondello,Betsy Sharkey,Eric Kohn,Manohla Dargis,Nigel M Smith,Randy Cordova,Gregory Ellwood,Nicolas Rapold,Sheri Linden,Rita Kempley,Barry Hertz,Clayton Dillard,Charlie Schmidlin,Nathan Rabin,Erik Adams,Kate Taylor,Barbara VanDenburgh,Jamie Graham,Steve Davis,Alan Scherstuhl,Jonathan Curiel,Dennis Harvey,Nick de Semlyen,Catherine Shoard,Jaime N. Christley,Dominick Suzanne-Mayer,Amy Taubin,Jami Bernard,Jonathan Foreman,Clarence Tsui,Brad Wheeler,Rex Reed,Anthony Lane,David Edelstein,Miriam Bale,Scott Tobias,Peter Keough,Luke Y. Thompson,Pete Vonder Haar,Serena Donadoni,Kevin Maynard,Amy Biancolli,Neil Genzlinger,Ann Hornaday,Stephanie Zacharek,Tom Keogh,V.A. Musetto,Sean Axmaker,Bill White,Mary Pols,Damon Wise,Andrew Pulver,James Mottram,Allan Hunter,Bryan Bishop,Rory O'Connor,Kevin P. Sullivan,Ben Kenigsberg,Molly Eichel,Farran Smith Nehme,Nathan Lee,Bosley Crowther,Mick LaSalle,Desmond Ryan,Marc Mohan,Edward Guthmann,Neva Chonin,Mark Jenkins,Gary Arnold,Alan Zilberman,Kirk Honeycutt,Justin Lowe,Elizabeth Kerr,Andrew O'Hehir,Andrea Gronvall,Elise Nakhnikian,Sam C. Mac,Zach Campbell,Chris Kaltenbach,Lisa Alspector,Glenn Heath Jr.,Oleg Ivanov,Kevin C. Johnson,Michael Roffman,Justin Gerber,Sarah Kurchak,Rodrigo Perez,Cath Clarke,Nick Allen,Robert Yaniz Jr.,Matt Donato,Wendy Ide,Michael Snydel,Dan Mecca,Kyle Anderson,Russell Smith,David Chute,Ernest Hardy,Chris Packham,Sherilyn Connelly,Todd McCarthy,Roger Ebert,Mike Hale,Stephen Hunter,Elvis Mitchell,Pauline Kael,Owen Gleiberman,Justin Chang,Peter Rainer,David Rooney,Richard Corliss,Richard Roeper,Jessica Kiang,Joe McGovern,Brian Lowry,Todd VanDerWerff,A.O. Scott,Kevin Thomas,Stephen Holden,Dave Calhoun,John Bleasdale,Lisa Schwarzbaum,Ignatiy Vishnevetsky,Kenneth Turan,Rene Rodriguez,Mike Clark,Susan Wloszczyna,Guy Lodge,Dan Fienberg,Peter Bradshaw,Chuck Bowen,Ty Burr,Sheila Benson,Vincent Canby,Kevin Jagernauth,Tim Grierson,John Anderson,Andy Webster,Mike D'Angelo
Peter Travers,100,85.5,,39.052225898718248,87.616766467065872,81.939393939393938,85.5,81.586206896551715,92.952606635071092,85.688715953307394,88.170731707317074,81.799999999999997,0.0,,83.032786885245898,29.550281828123396,84.037037037037038,83.674698795180717,81.236111111111114,87.425641025641028,86.613445378151255,83.431034482758619,93.114285714285714,88.27272727272728,85.048780487804876,36.785005999836365,0.0,70.511396335585232,89.872093023255815,48.020449444044964,27.45563813504813,85.234920634920627,60.272492830161141,,50.963406734337703,64.476829073121223,,86.759259259259267,82.432098765432102,85.893851159230621,17.628271573328782,85.326271186440678,50.821389868194977,86.707317073170728,53.834584578525742,76.091052703032531,69.545059819635227,86.178861788617894,87.275675675675672,87.629629629629633,91.37777777777778,86.047808764940243,88.157142857142858,85.231578947368419,75.938726043944683,78.030303030303031,88.722222222222229,30.578044040602624,86.881355932203391,25.372483362768019,80.950000000000003,40.784341320243762,76.091052703032531,82.397959183673464,18.647246808781315,84.297872340425528,89.234042553191486,89.317073170731703,86.315789473684205,85.542857142857144,,83.434173579687979,75.200372376396771,76.174808248467997,63.482157168692673,82.714913462621709,,0.0,,32.301514963845229,83.19047619047619,78.103942652329749,87.521739130434781,92.549999999999997,,84.483695652173907,84.349999999999994,,0.0,24.979247244435946,,84.322222222222223,52.812034946572453,85.136950904392762,90.596774193548384,0.0,56.664271624664373,20.073812138414858,17.016886432057266,85.478632478632477,86.032258064516128,78.601161733594253,87.30952380952381,42.398491111275199,64.657887746216758,58.930925251959522,63.622874477209521,82.499084278571843,77.94646735645432,71.021481799526853,,0.0,80.967654986522916,0.0,86.777202072538856,16.609296337876252,,87.577777777777783,,42.493130600362868,79.711864406779654,68.261304629440602,0.0,89.390243902439025,74.522426290800581,84.285714285714292,51.178745072651814,,0.0,,42.671006919494509,52.063377597184932,79.16139372420156,69.873271767142583,18.647246808781315,59.913835588802826,86.404040404040401,89.27272727272728,19.15673442650758,18.54534928523606,78.777309831794184,29.716690687346212,59.579577235951767,58.388062908164443,25.066790792132259,0.0,,48.465835019672774,58.71558691364541,19.87001709132435,85.112627986348116,83.288135593220346,42.303851622187537,43.154573581340102,0.0,,82.361538461538458,85.696153846153848,84.934653465346543,89.794520547945211,83.990430622009569,84.491379310344826,86.5,70.805397988131105,58.326041865231311,0.0,83.958333333333329,17.83206662041929,84.0,83.783783783783775,83.893617021276597,84.006329113924053,81.34615384615384,86.448763250883388,85.522935779816521,17.628271573328782,90.01428571428572,86.94736842105263,,82.983146067415731,78.218369479037349,87.565632458233893,0.0,35.358440670202818,83.34482758620689,86.452830188679243,32.199617440299974,0.0,89.425925925925924
Jeannette Catsoulis,85.5,100,,26.917292289262871,69.697906104953105,86.222222222222229,81.299999999999997,61.519377425029269,77.427138985212039,87.175438596491233,,70.203753457933118,0.0,0.0,82.920454545454547,65.112517545416722,78.07600858551686,24.763908906121845,80.930555555555557,67.609006872275415,85.394366197183103,16.303603767240492,0.0,84.769230769230774,18.341554238145555,0.0,,,87.564102564102569,33.116695152207249,,79.767441860465112,,,79.911111111111111,19.360529473598085,,88.215306595966581,71.127642459914767,24.763908906121845,,82.725811635667895,,30.147367363974418,,,26.917292289262871,82.16060477543725,83.947925278437239,60.054462069099991,65.261361341608549,84.850327592844721,82.396226415094333,64.391209857053781,,24.763908906121845,0.0,44.778217137741152,78.960985132494727,,,16.303603767240492,0.0,86.84615384615384,,,47.404645221926629,0.0,49.856609629957312,68.921624975214272,11.208727589977839,86.732142857142861,0.0,,26.697151168856308,,,,,0.0,0.0,84.299999999999997,29.070675672403901,46.973227781748072,0.0,85.275362318840578,53.40390790189754,,19.360529473598085,,,70.014906777481372,,84.125510834709559,0.0,,82.511904761904759,68.890618143523781,59.178405733825514,73.414147025612635,27.993983980833388,38.211571329469905,31.07874468130219,,,0.0,,0.0,0.0,78.007730484436394,,,76.413043478260875,,72.810480370925745,0.0,,82.147076528095695,,,80.476599366409417,27.993983980833388,,38.72105894719617,82.948717948717956,15.794116149514227,,,,,53.143910663514376,,0.0,0.0,,,34.543260481840797,0.0,,,,0.0,,,,,0.0,85.176931097885699,50.439274154900282,,68.110382839793942,73.912372259247519,18.341554238145555,38.632187334521774,,,82.46913580246914,86.739130434782609,83.416666666666671,36.68310847629111,74.866940867644885,22.072179677195553,40.032503884083503,0.0,,,60.410920174127845,77.604381051887643,64.348286118827318,25.3022547519071,0.0,84.968253968253975,61.464492128353136,86.282051282051285,81.466666666666669,0.0,23.364209707080171,27.45563813504813,,62.073606050479988,79.878787878787875,85.349999999999994,,,61.336307577511938,0.0,0.0,,64.507230054994409
Peter Stack,,,100,77.5625,,,,,,61.642346483784728,,0.0,,56.52938692096712,35.664133240838581,,69.564585655762386,,,,,,,17.118783955602517,,,61.187549138368972,,,,,13.959960725699672,,,77.952478469705284,,,,,,,,,0.0,,,,,,27.45563813504813,,0.0,,27.993983980833388,,,,,,76.675675675675677,,,,,,,,,36.246924320576788,,,15.794116149514227,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,65.388163106413828,,,,,,,,,,,,,,,,55.31028663960668,,18.341554238145555,,,81.818181818181813,36.988801046926866,,76.282051282051285,73.366216952582221,0.0,51.164323980907014,15.794116149514227,29.957871922304406,0.0,47.382348448542686,,,,0.0,,65.839264165198813,0.0,83.787878787878782,,,36.479313429200602,,,,0.0,,,,0.0,,0.0,,19.918796294054527,,,,,
Desson Thomson,39.052225898718248,26.917292289262871,77.5625,100,,12.22770282543037,69.832806806789989,18.341554238145555,0.0,81.633333333333326,0.0,26.917292289262871,0.0,81.714285714285722,80.243902439024396,77.317307692307693,54.991172310872777,29.550281828123396,17.322579002693026,27.347968965891081,82.33846153846153,29.550281828123396,,52.472038331856709,0.0,24.440901398650691,80.217391304347828,,0.0,0.0,,53.75320390679034,,0.0,81.189189189189193,0.0,,38.991469504119159,18.341554238145555,,80.534246575342465,53.516274321021221,,,,,,0.0,42.010323524259114,27.45563813504813,29.550281828123396,33.123821180683748,30.467359540030671,82.407407407407405,,18.341554238145555,0.0,,,83.905325443786978,,0.0,0.0,12.53339539606613,,0.0,17.322579002693026,,62.968763374605359,16.303603767240492,42.092055671193464,75.140742169723296,,,,,,24.763908906121845,16.507398814331001,,0.0,21.42616466225325,0.0,65.753784148695019,,30.947112931667395,0.0,,,,,,,86.107692307692304,,,16.507398814331001,84.298507462686572,46.465270736635411,,12.22770282543037,,0.0,,,,,,,,26.917292289262871,,76.698113207547166,0.0,37.192596094017375,81.177215189873422,,0.0,,,,,,0.0,55.78889414102607,,,0.0,15.284628531787963,66.096338158107827,,,,,,,15.080833484697456,0.0,,0.0,0.0,,,,,68.937582478855234,27.993983980833388,31.588232299028455,0.0,,83.089887640449433,75.275000000000006,,82.643274853801174,79.841269841269849,,64.124251964647627,50.963406734337703,66.021518183649192,80.0,79.523809523809518,0.0,10.801137495796826,,66.096338158107827,,81.714285714285722,40.388195849727317,83.684210526315795,,,49.369350157675122,0.0,65.261361341608549,29.346486781032887,79.366336633663366,59.801268686132062,19.360529473598085,,28.531306592670862,0.0,83.515625,,32.607207534480985,0.0,15.284628531787963,,,32.650623735245411
Calvin Wilson,87.616766467065872,69.697906104953105,,,100,78.279595920691463,59.285354764052819,34.543413516998768,92.813333333333333,84.516853932584269,62.222562407376209,45.831822246864469,0.0,,75.260749240778992,,81.282608695652172,76.620197196899184,64.875796181415652,84.773584905660371,87.435483870967744,81.228571428571428,89.214285714285708,85.55012410907436,62.476876591033253,19.971914614869604,0.0,52.808391577327413,67.227932267171624,,0.0,84.208333333333329,28.209322319147489,,,30.901051548073781,,88.975609756097555,72.841129526520376,60.944016604484915,,83.473282442748086,28.209322319147489,63.135809409441421,41.452096220398523,52.349852721373779,31.995822393209469,83.666666666666671,75.348617269634289,61.227867527309947,88.727392354070105,87.069767441860463,87.45348837209302,82.011190442210051,55.515664714595012,30.685713209759676,78.405523891319021,,66.350412742457806,,82.191100831172065,22.718194692137864,41.641375198573861,63.377914251595698,,72.668155352899959,68.114698067892775,75.460424153440769,75.219255883492636,83.032258064516128,0.0,35.358440670202818,37.192596094017375,14.978935961152203,30.569257063575925,62.24483619515199,,,,,80.123354964394395,75.871794871794876,85.333333333333329,89.853872683886692,,83.585365853658544,75.257321722513481,,,0.0,,79.306576062034367,0.0,84.201612903225808,85.251251770171208,,54.336854430506214,0.0,15.692218625968975,77.282058656425249,47.148828633268622,27.993983980833388,65.266719080926904,37.090698570472121,48.452272445767846,40.563796701247867,28.747668164932747,,44.953817989261701,55.629070731143273,,,82.308333333333337,,88.150000000000006,,,64.704927451235704,,36.886903523381619,75.714365946843913,,,84.933161165358527,54.871816429118788,53.394508054079189,40.651597127008145,,,,0.0,40.127143373171172,,62.100796140434177,0.0,47.324429484789171,84.125,66.240849216463133,,,62.738680401020851,,49.958494488871892,45.041618415021979,0.0,,,28.209322319147489,18.035861667509796,,84.742857142857147,78.169894141217455,,,,,85.587301587301582,83.837500000000006,82.993589743589752,77.282058656425249,82.228571428571428,85.634920634920633,81.692806980474884,54.414341832087402,,,85.088888888888889,34.237567911205034,69.28638944997742,77.665719671130816,73.076592077841582,88.256410256410263,86.333333333333329,86.362637362637358,84.739583333333329,,78.520086230739679,72.673789857087954,,83.275862068965523,24.333232229493635,86.462184873949582,,,72.463110058085803,82.367346938775512,0.0,,69.596008581407858
Robert Abele,81.939393939393938,86.222222222222229,,12.22770282543037,78.279595920691463,100,83.706008116531123,83.625683689442837,83.63433759652132,82.479166666666671,61.944813066389365,61.393257936014983,0.0,,65.203351242638234,,82.107692307692304,79.034044872817759,83.961038961038966,81.942307692307693,85.282051282051285,81.290222713573868,71.519948217091354,88.618181818181824,53.617805408284568,,0.0,43.900212880138376,87.722222222222229,52.670015918744177,,81.212121212121218,13.959960725699672,,,64.290520552282842,,47.486377368860978,77.248856520951819,33.123821180683748,,85.187050359712231,42.209212133099868,0.0,14.265653296335431,61.74171531863071,65.288806138578494,66.174897878815273,71.175420196359283,65.469158877825109,57.544361864951867,,82.756756756756758,82.266942595356241,47.813305956598406,54.478434107508001,41.357456731310855,58.859145805854816,79.931469220456165,0.0,63.908717553535368,83.117647058823536,36.68310847629111,85.918918918918919,,61.084634215745609,85.238092249332425,48.22196669127019,70.513086293315126,84.836065573770497,,86.769230769230774,41.168177753135517,0.0,9.6802647367990424,50.183538217694732,,,,,54.185988789202376,77.506493506493513,57.882858111216294,44.480559871203894,31.588232299028455,87.164383561643831,85.409090909090907,19.360529473598085,56.705762422713782,35.016610962437106,,54.478434107508001,73.357242426276869,85.422222222222217,52.349852721373779,38.802190525943821,68.155143969052659,0.0,,47.412229910549456,38.632187334521774,36.68310847629111,46.995984487254837,47.851232039350833,16.813091384966757,18.341554238145555,52.717234772659779,56.777541868818481,34.033772864114532,81.47727272727272,,0.0,75.454545454545453,,83.266666666666666,14.265653296335431,,74.068021252442037,,38.518272058680822,56.190376879894181,71.990337287899052,,60.883133471013899,29.070675672403901,47.148828633268622,0.0,,,,38.517263900105668,33.422387722843013,43.890162903749314,37.098679722365802,0.0,33.931875340569277,75.105898539973211,57.544361864951867,27.778645642519287,37.70208371174364,52.39899565643173,44.480559871203894,23.687217214551328,27.45563813504813,46.618117021953289,,,79.034044872817759,70.167797103395273,33.626182769933514,85.39473684210526,27.347968965891081,54.260431287847268,17.628271573328782,,,84.422222222222217,87.222222222222229,82.65384615384616,86.36363636363636,57.838976797463211,78.15625,79.270036059830602,48.712359572876323,17.322579002693026,,76.54668774915848,0.0,86.111111111111114,74.040694995465785,69.028709488080409,71.5894023949201,83.616666666666674,72.469913623353946,80.860465116279073,0.0,78.217533503874975,86.883883624897436,,83.181818181818187,83.983870967741936,90.111111111111114,,,81.182662184678236,87.22527413029978,18.341554238145555,36.68310847629111,88.808823529411768
Peter Hartlaub,85.5,81.299999999999997,,69.832806806789989,59.285354764052819,83.706008116531123,100,64.959671260098844,73.366216952582221,83.762500000000003,43.461210751336999,86.166666666666671,,41.168177753135517,84.976744186046517,79.540540540540547,80.838235294117652,70.309291246224632,85.094533357123026,85.117647058823536,85.073170731707322,61.490704908537843,66.015492628222688,79.368418193032809,41.357456731310855,17.322579002693026,34.645158005386051,17.322579002693026,71.295400742374227,26.055938936006463,,81.390243902439025,40.475996275487589,0.0,80.760869565217391,0.0,,82.971157827033494,50.673931099300873,45.471769882069189,,85.531914893617028,32.301514963845229,61.491964805724045,,38.211571329469905,0.0,55.039489642595136,84.375,72.233855272789285,74.235417267832972,85.138888888888886,80.980696224365005,83.369565217391312,15.284628531787963,40.827197978528694,33.931875340569277,27.45563813504813,60.887661649567754,,53.419776718598932,0.0,33.931875340569277,84.133333333333326,0.0,53.57262300391681,61.491964805724045,35.154645623112316,66.591374301640258,74.751411899413839,,82.8125,29.070675672403901,16.303603767240492,26.917292289262871,63.130891289288677,,,,0.0,56.490424084399685,62.057493282353484,65.121863490458921,53.116790117478743,27.993983980833388,83.621621621621614,67.782160892622343,,,,,,68.170120930437847,83.840000000000003,34.135670387659779,,64.386361907546217,83.32352941176471,63.696396232759504,64.840537146629799,24.225563060336587,0.0,22.610525522980815,,31.07874468130219,0.0,15.284628531787963,52.426275864032718,33.116695152207249,28.316991488304545,57.326756609483553,,0.0,,70.062118447594301,,,58.644432009846845,,16.507398814331001,54.911276270096259,49.292927015016183,0.0,53.496199861257871,82.395833333333329,38.313468853015159,29.346486781032887,,,,36.988801046926866,13.959960725699672,43.723443958502557,13.552370631518659,,19.564324520688594,42.909377140537032,66.13151282616333,,14.775140914061698,44.339215008939767,0.0,0.0,,17.83206662041929,0.0,,0.0,37.855795635067146,0.0,83.225806451612897,59.878336568509482,51.082591833972657,54.794820123912508,,,79.097087378640779,84.642857142857139,84.393258426966298,55.513384387365335,81.111111111111114,72.960492655990379,35.562235717293326,18.647246808781315,72.469913623353946,,82.692307692307693,0.0,84.81481481481481,51.203505581489679,43.900212880138376,82.0,74.4398071929172,85.128205128205124,78.35294117647058,82.418508019126961,79.75531171253229,43.022208622535615,,68.800891965017442,51.585621294784374,86.282258064516128,,,64.797280549846008,80.965071049563107,,0.0,38.328993080505484
Keith Uhlich,81.586206896551715,61.519377425029269,,18.341554238145555,34.543413516998768,83.625683689442837,64.959671260098844,100,76.36363636363636,82.229166666666671,18.13775919105505,43.022208622535615,,,70.577868644908619,,81.299999999999997,77.427138985212039,83.86486486486487,84.75555555555556,78.904109589041099,74.7241475646547,0.0,85.5,39.949193720925926,,,11.208727589977839,79.117647058823536,30.671154587121176,,79.033333333333331,,,0.0,59.576940266901829,,57.196394146513711,86.074971496246604,18.341554238145555,,81.361702127659569,,47.404645221926629,,,35.664133240838581,73.667378305840671,83.463414634146346,59.665470801593628,70.903396939357805,80.666666666666671,81.821917808219183,80.78947368421052,,34.645158005386051,,58.89834685000956,75.873138766701615,0.0,0.0,43.28560989981645,31.180642204847445,76.299392355278584,,,68.724349555888551,0.0,49.611413189154241,81.219512195121951,,53.834584578525742,20.379504709050618,34.070216071560431,29.609021518189163,,,,,,,74.72727272727272,42.144204364932847,48.22196669127019,16.303603767240492,86.617647058823536,82.197448095964347,,35.664133240838581,19.360529473598085,,51.681201195384716,37.70208371174364,81.174603174603178,46.58732375258306,,48.223003017791022,0.0,,73.545759558215863,55.513384387365335,55.987967961666776,51.451429432192256,,,,0.0,71.246400466949922,0.0,85.709677419354833,,,74.477611940298516,,80.075757575757578,0.0,,83.72727272727272,,,18.341554238145555,39.748585416820504,,72.212908233119734,,0.0,,,,,28.8553373340898,,33.829977817024023,,,,69.25652701114339,43.900212880138376,,,,,,,,0.0,,39.748585416820504,41.266200107330079,0.0,79.354838709677423,46.915545607877476,0.0,26.594284781791718,,,74.035714285714278,85.283018867924525,80.980582524271853,72.463110058085803,79.387755102040813,24.54857056780774,75.113140171723401,,0.0,0.0,82.41935483870968,0.0,82.58064516129032,60.511576421121525,42.500716405865248,74.677419354838705,80.875410729816124,81.166666666666671,77.089285714285722,,69.341264772544719,58.221354357480713,,85.774647887323937,66.488134113277638,82.473118279569889,,22.610525522980815,79.434199056431709,,16.303603767240492,0.0,82.641025641025635
Bill Goodykoontz,92.952606635071092,77.427138985212039,,0.0,92.813333333333333,83.63433759652132,73.366216952582221,76.36363636363636,100,85.816513761467888,52.063377597184932,79.280498025914142,,,84.047619047619051,0.0,83.608695652173907,84.418424266199736,80.515151515151516,89.755813953488371,89.893939393939391,85.714285714285708,84.973742173047,89.753623188405797,53.324773149937236,25.840600597692358,,20.379504709050618,90.512820512820511,0.0,17.83206662041929,86.233870967741936,0.0,,0.0,69.032017774679261,,91.893333333333331,87.096774193548384,36.68310847629111,,87.687074829931973,27.886314811676336,67.296889191627514,0.0,52.390306184922352,49.856609629957312,86.368421052631575,83.454545454545453,84.572425700286217,93.484848484848484,89.489795918367349,91.309352517985616,89.821428571428569,52.731968434668474,,63.36649730069994,40.694980307697179,68.170120930437847,,66.537583518955557,41.354000533090357,57.997792452598397,73.7659564431207,,60.11693333656148,,74.312462271552747,84.010571773369151,85.384615384615387,,69.27857818133927,39.740034182648699,44.778217137741152,39.476626969294067,55.341952946724469,,,,0.0,65.753784148695019,76.980198019801975,88.644067796610173,93.050847457627114,,86.933333333333337,86.285714285714292,,0.0,,,85.232558139534888,18.341554238145555,87.178010471204189,92.142857142857139,17.424476526238276,64.220459971438842,0.0,,86.92307692307692,77.427138985212039,56.553125567615467,66.015043683215566,0.0,37.70208371174364,40.694980307697179,19.768119567779099,59.669908416576405,29.824359856503261,87.133333333333326,,,83.16326530612244,,90.969387755102048,,,81.18255354441682,,15.794116149514227,79.581572338540113,27.993983980833388,,92.58620689655173,60.27430213630376,49.063657587039366,30.976847157756936,,,,22.933533030451969,50.046242683357754,17.322579002693026,45.217219266542529,,43.818083447590219,89.549999999999997,75.40416742348728,,,33.626182769933514,0.0,50.134043109118032,0.0,,,,18.341554238145555,29.070675672403901,0.0,86.565656565656568,90.175438596491233,,5.0948761772626545,,,91.791666666666671,88.979591836734699,86.818965517241381,91.463414634146346,85.0,85.494305222137683,91.0,36.173620858564846,0.0,,83.200000000000003,19.360529473598085,87.741935483870975,87.5,80.980696224365005,90.421875,83.891891891891888,90.064935064935071,86.816455696202524,,83.737019944768534,79.727429457452942,,84.320987654320987,73.950770339823734,89.131868131868131,,,83.01775982770225,82.619097883370927,26.917292289262871,0.0,87.051282051282044
Marjorie Baumgarten,85.688715953307394,87.175438596491233,61.642346483784728,81.633333333333326,84.516853932584269,82.479166666666671,83.762500000000003,82.229166666666671,85.816513761467888,100,56.080740993022935,79.540174224220038,,85.104166666666671,84.157657657657666,77.359154929577471,81.913978494623649,87.404761904761898,85.921568627450981,90.367088607594937,83.537712895377126,86.583333333333329,87.225806451612897,85.582278481012651,69.80241251483362,74.405592097984254,80.909090909090907,48.378034593912496,87.039215686274503,41.262817242223186,14.469448343425938,83.721518987341767,0.0,,82.426229508196712,50.592198952366516,,86.450819672131146,87.05714285714285,59.482821401180587,19.564324520688594,87.828282828282823,37.396391141107884,57.064659653237285,47.159448781123558,68.554408288361643,35.562235717293326,84.270588235294113,87.614754098360663,85.444444444444443,86.57352941176471,85.535714285714292,84.944055944055947,83.828571428571422,64.681260351905365,64.013406239557483,72.765409005103606,37.803981235288894,87.142857142857139,78.84375,67.099519254549151,48.467163132073253,60.252331835067253,83.826086956521735,,73.414147025612635,79.562210907615238,60.759477098726563,0.0,84.117647058823536,46.441301629741538,82.883720930232556,36.581210952745856,51.585621294784374,58.644432009846845,63.379341943325471,,0.0,0.0,,73.501720181234901,76.318518518518516,88.489361702127667,84.491803278688522,18.341554238145555,84.666666666666671,87.428571428571431,,36.479313429200602,17.118783955602517,,79.72727272727272,44.936807883456616,85.840163934426229,75.787888048986218,,82.820512820512818,82.990384615384613,83.200000000000003,83.174603174603178,75.218608223785182,61.084308635100548,73.7659564431207,25.732931428535309,0.0,36.071723335019591,18.13775919105505,63.927129065291226,40.411061840434179,80.817680394194525,39.559306438645166,,79.323979591836732,,84.961538461538467,78.44683344026069,,84.738095238095241,,17.118783955602517,80.396226415094333,55.485511838933867,,82.549999999999997,84.439393939393938,75.019343809452394,0.0,,0.0,51.145635785636919,55.485511838933867,0.0,62.6487443416733,45.65622139534392,0.0,17.83206662041929,86.333333333333329,64.971310846756964,,17.628271573328782,49.366216748351178,0.0,33.422387722843013,31.893924869664215,19.360529473598085,,0.0,68.882725916591085,47.061028207508343,26.271277274320564,84.745019920318725,74.36363636363636,52.273429578714833,77.422222222222217,34.848953052476553,,79.518939393939391,83.798742138364787,84.995348837209306,84.166666666666671,83.175757575757572,82.960000000000008,82.111111111111114,52.614333994745827,67.659955634048046,,85.780269058295971,38.423632569593153,83.829545454545453,80.632844702693021,77.785880657193729,81.050505050505052,86.732142857142861,83.869791666666671,85.0,82.754385964912274,88.166666666666671,75.679093661167784,,83.081395348837205,62.461566088295491,85.866485013623972,,43.714037600913578,82.75,88.837209302325576,18.44345176169081,18.44345176169081,89.950000000000003
